,,,,,,,,,,,,,,Global Size,Order number,Industry,Category Number,Headquarters State/Country,Category Number,Company Ownership Type,Category Number,Est Revenue,Order Number
,,,,,,,,,,,,,,,,Consulting,26,MS,26,,,,
,,,,,,,,,,,,,,,,Consumer Electronics & Appliances Stores,27,NC,27,,,,
,,,,,,,,,,,,,,,,Consumer Product Rental,28,NE,28,,,,
,,,,,,,,,,,,,,,,Consumer Products Manufacturing,29,NH,29,,,,
,,,,,,,,,,,,,,,,Convenience Stores & Truck Stops,30,NJ,30,,,,
,,,,,,,,,,,,,,,,Cruise Ships,31,NM,31,,,,
,,,,,,,,,,,,,,,,"Department, Clothing, & Shoe Stores",32,NV,32,,,,
,,,,,,,,,,,,,,,,Drug & Health Stores,33,NY,33,,,,
,,,,,,,,,,,,,,,,Education Training Services,34,OH,34,,,,
,,,,,,,,,,,,,,,,Electrical & Electronic Manufacturing,35,OK,35,,,,
,,,,,,,,,,,,,,,,Energy,36,OR,36,,,,
,,,,,,,,,,,,,,,,Enterprise Software & Network Solutions,37,PA,37,,,,
,,,,,,,,,,,,,,,,Express Delivery Services,38,PR,38,,,,
,,,,,,,,,,,,,,,,Farm Support Services,39,RI,39,,,,
,,,,,,,,,,,,,,,,Fast-Food & Quick-Service Restaurants,40,SC,40,,,,
,,,,,,,,,,,,,,,,Federal Agencies,41,TN,41,,,,
,,,,,,,,,,,,,,,,Financial Analytics & Research,42,TX,42,,,,
,,,,,,,,,,,,,,,,Financial Transaction Processing,43,UT,43,,,,
,,,,,,,,,,,,,,,,Food & Beverage Manufacturing,44,VA,44,,,,
,,,,,,,,,,,,,,,,Food & Beverage Stores,45,VT,45,,,,
,,,,,,,,,,,,,,,,Food Production,46,WA,46,,,,
,,,,,,,,,,,,,,,,Funeral Services,47,WI,47,,,,
,,,,,,,,,,,,,,,,Gambling,48,WY,48,,,,
,,,,,,,,,,,,,,,,Gas Stations,49,NY,49,,,,
,,,,,,,,,,,,,,,,General Merchandise & Superstores,50,Australia,50,,,,
,,,,,,,,,,,,,,,,General Repair & Maintenance,51,Belgium,51,,,,
,,,,,,,,,,,,,,,,Grantmaking Foundations,52,Bermuda,52,,,,
,,,,,,,,,,,,,,,,Grocery Stores & Supermarkets,53,Brazil,53,,,,
,,,,,,,,,,,,,,,,Health Care Products Manufacturing,54,Canada,54,,,,
,,,,,,,,,,,,,,,,Health Care Services & Hospitals,55,China,55,,,,
,,,,,,,,,,,,,,,,Health Fundraising Organizations,56,Finland,56,,,,
,,,,,,,,,,,,,,,,"Health, Beauty, & Fitness",57,France,57,,,,
,,,,,,,,,,,,,,,,Home Centers & Hardware Stores,58,Germany,58,,,,
,,,,,,,,,,,,,,,,Home Furniture & Housewares Stores,59,Greece,59,,,,
,,,,,,,,,,,,,,,,"Hotels, Motels, & Resorts",60,Hong Kong,60,,,,
,,,,,,,,,,,,,,,,Industrial Manufacturing,61,India,61,,,,
,,,,,,,,,,,,,,,,Information Technology Support Services,62,Ireland,62,,,,
,,,,,,,,,,,,,,,,Insurance Agencies & Brokerages,63,Israel,63,,,,
,,,,,,,,,,,,,,,,Insurance Carriers,64,Italy,64,,,,
,,,,,,,,,,,,,,,,Internet,65,Japan,65,,,,
,,,,,,,,,,,,,,,,Investment Banking & Asset Management,66,Luxembourg,66,,,,
,,,,,,,,,,,,,,,,IT Services,67,Netherlands,67,,,,
,,,,,,,,,,,,,,,,K-12 Education,68,Norway,68,,,,
,,,,,,,,,,,,,,,,Laundry & Dry Cleaning,69,Romania,69,,,,
,,,,,,,,,,,,,,,,Legal,70,Singapore,70,,,,
,,,,,,,,,,,,,,,,Lending,71,South Korea,71,,,,
,,,,,,,,,,,,,,,,Logistics & Supply Chain,72,Spain,72,,,,
,,,,,,,,,,,,,,,,Media & Entertainment Retail Stores,73,Sweden,73,,,,
,,,,,,,,,,,,,,,,Membership Organizations,74,Switzerland,74,,,,
,,,,,,,,,,,,,,,,Metal & Mineral Manufacturing,75,United Kingdom,75,,,,
,,,,,,,,,,,,,,,,Mining,76,,,,,,
,,,,,,,,,,,,,,,,Miscellaneous Manufacturing,77,,,,,,
,,,,,,,,,,,,,,,,Motion Picture Production & Distribution,78,,,,,,
,,,,,,,,,,,,,,,,Moving Services,79,,,,,,
,,,,,,,,,,,,,,,,Municipal Governments,80,,,,,,
,,,,,,,,,,,,,,,,"Museums, Zoos & Amusement Parks",81,,,,,,
,,,,,,,,,,,,,,,,Music Production & Distribution,82,,,,,,
,,,,,,,,,,,,,,,,News Outlet,83,,,,,,
,,,,,,,,,,,,,,,,Oil & Gas Exploration & Production,84,,,,,,
,,,,,,,,,,,,,,,,Oil & Gas Services,85,,,,,,
,,,,,,,,,,,,,,,,Other Retail Stores,86,,,,,,
,,,,,,,,,,,,,,,,Passenger Rail,87,,,,,,
,,,,,,,,,,,,,,,,Pet & Pet Supplies Stores,88,,,,,,
,,,,,,,,,,,,,,,,Preschool & Child Care,89,,,,,,
,,,,,,,,,,,,,,,,Publishing,90,,,,,,
,,,,,,,,,,,,,,,,Radio,91,,,,,,
,,,,,,,,,,,,,,,,Rail,92,,,,,,
,,,,,,,,,,,,,,,,Real Estate,93,,,,,,
,,,,,,,,,,,,,,,,Religious Organizations,94,,,,,,
,,,,,,,,,,,,,,,,Research & Development,95,,,,,,
,,,,,,,,,,,,,,,,Security Services,96,,,,,,
,,,,,,,,,,,,,,,,Self-Storage Services,97,,,,,,
,,,,,,,,,,,,,,,,Shipping,98,,,,,,
,,,,,,,,,,,,,,,,Social Assistance,99,,,,,,
,,,,,,,,,,,,,,,,Sporting Goods Stores,100,,,,,,
,,,,,,,,,,,,,,,,Sports & Recreation,101,,,,,,
,,,,,,,,,,,,,,,,Staffing & Outsourcing,102,,,,,,
,,,,,,,,,,,,,,,,State & Regional Agencies,103,,,,,,
,,,,,,,,,,,,,,,,Stock Exchanges,104,,,,,,
,,,,,,,,,,,,,,,,Telecommunications Manufacturing,105,,,,,,
,,,,,,,,,,,,,,,,Telecommunications Services,106,,,,,,
,,,,,,,,,,,,,,,,Timber Operations,107,,,,,,
,,,,,,,,,,,,,,,,Transportation Equipment Manufacturing,108,,,,,,
,,,,,,,,,,,,,,,,Transportation Management,109,,,,,,
,,,,,,,,,,,,,,,,Travel Agencies,110,,,,,,
,,,,,,,,,,,,,,,,Truck Rental & Leasing,111,,,,,,
,,,,,,,,,,,,,,,,Trucking,112,,,,,,
,,,,,,,,,,,,,,,,TV Broadcast & Cable Networks,113,,,,,,
,,,,,,,,,,,,,,,,Utilities,114,,,,,,
,,,,,,,,,,,,,,,,Vehicle Dealers,115,,,,,,
,,,,,,,,,,,,,,,,Venture Capital & Private Equity,116,,,,,,
,,,,,,,,,,,,,,,,Veterinary Services,117,,,,,,
,,,,,,,,,,,,,,,,Video Games,118,,,,,,
,,,,,,,,,,,,,,,,Wholesale,119,,,,,,
