Company Name,Global Size,Company Rating,Company Ownership Type,Company Age,Est Yearly Revenue
"Advent Global Solutions, Inc.",4,3.4,2,26,7
Advisor Group,5,3.4,2,7,2
Advisor Group,5,3.5,2,7,2
Advisors Asset Management,3,2.7,2,44,7
Advocate Aurora Health,7,3.6,7,5,12
AECOM,7,3.4,3,33,12
Aegis Media,5,2.8,13,45,10
Aegis Project Controls,2,4.9,2,17,4
AEP,7,3.6,3,117,12
Aequor Technologies Inc,3,4.2,2,25,5
AESI,2,2.9,2,30,3
AETEA Information Technology Inc,3,3.9,2,19,6
Aetna,7,3.3,3,170,12
AffiniPay,2,5,2,18,4
AFFINITY HEALTH PLAN,4,2.4,8,37,9
Aga Fincorp,1,5,2,20,2
A-Gas Americas,4,4,2,30,6
Age of Learning,4,3.3,2,16,7
Ageatia Technology Consultancy Services,2,3.1,2,21,6
Agil3Tech (Agil3 Technology Solutions),1,3.8,2,11,3
"Agile Global Solutions, Inc",2,4.6,2,20,4
Agilisium LLC,3,4.8,2,11,4
AgreeYa Solutions,5,3.7,2,24,6
AHMC Healthcare,6,3,2,25,9
AIDS Healthcare Foundation,5,4.7,8,36,9
AIG,7,3.2,3,104,12
Air Methods,5,3.1,3,43,9
Air Products,7,4.1,3,83,11
"Airetel Staffing, Inc",1,4.9,2,23,4
Airgas,7,3.7,3,41,11
Airgas,7,3.8,3,41,11
Airtime,2,4.5,2,11,2
"AIT Global, Inc.",2,3.7,2,25,4
Aite Group,2,3.8,2,18,4
Ajilon,5,3.6,3,29,7
Ajinomoto Bio-Pharma Services,4,3.8,2,25,7
Akamai,6,4.1,3,25,10
Akamai,6,4,3,25,10
Akamai Technologies Inc,6,4,3,25,10
Akima Management Services,6,3.3,2,20,9
"Akimeka, LLC",3,3.5,3,26,4
Akorbi,3,3.5,2,20,5
Akraya Inc.,2,4.6,2,22,5
Akumin,5,2.9,3,7,7
Alameda County Water District,3,4.9,6,109,7
Alaska USA,5,3.4,9,75,7
Albemarle,6,3.4,3,29,10
Albertsons Companies,7,3.3,2,84,12
Albin Engineering Services,2,2.9,2,30,3
ALEGENT CREIGHTON CLINIC,7,3.2,8,27,12
ALERE,6,2.8,3,22,10
Alert Logic,4,3.5,2,21,7
Alert Logic,4,3.4,2,21,7
ALEX - Alternative Experts,2,4,2,36,4
ALEX Alternative Experts LLC,2,4,2,36,4
"ALEX-Alternative Experts, LLC",2,4,2,36,4
Alexandria Real Estate Equities,3,3.9,3,29,8
Alexza Pharmaceuticals,1,3.7,2,23,3
Algonquin/Liberty/Empire District,5,3.2,3,35,12
Alion,5,3.7,2,22,9
Alion Science & Technology,5,3.7,2,22,9
AlixPartners,5,4.6,2,42,9
Alkami Technology,4,4,2,14,6
All Campus,2,4.7,2,11,5
All Web Leads,3,3.4,2,18,7
Allegan General Hospital,3,3.7,2,85,5
Allegiance Bank,4,4.3,3,16,11
Allegiance Bank,4,4.4,3,16,11
Allen Institute,3,3.5,8,20,7
Alliance Data - Retail,7,3.1,3,27,11
Alliance Data card services,6,3.2,3,37,11
Alliance Global Tech Inc.,1,5,2,10,5
Alliance IT,2,4.4,2,12,3
Alliance Laundry,5,2.6,2,115,9
Alliance Resource Group,1,4.9,2,20,3
AllianceBernstein,5,3.2,3,56,10
Alliant Credit Union,4,3.4,8,88,7
Alliant Energy,5,3.4,3,106,10
Alliant Insurance Services,5,3.2,2,98,9
Alliant International University,4,3.2,1,21,4
Allied 100,2,5,2,21,7
"Allied Consultants, Inc.",2,4,2,32,3
Allied Electronics,4,3.4,3,95,8
Allied Solutions,5,3.2,13,22,7
Allied World Assurance,4,3.2,3,22,10
Allscripts,6,3.3,3,37,9
Allstaff Solutions,2,4.9,2,14,4
Allstate,7,3.4,3,92,12
"Allstate Insurance - 1202 Irving, TX",7,3.4,3,92,12
"Alltech Consulting Services, Inc.",1,2.5,2,25,6
Alluvion Staffing,1,4.1,2,23,1
Ally Financial,6,3.7,3,104,11
Alpha Consulting,3,4,2,29,4
Alpha Consulting Corp.,3,4,2,29,4
"Alpha Net Consulting, LLC",3,3.1,2,22,5
Alstom Transportation,7,3.7,13,95,11
ALTA IT Services,3,3.9,2,19,4
AltaMed,5,3.2,8,54,3
Altamed Health Services,5,3.2,8,54,3
Alteryx,5,3.4,3,26,7
Alvarez & Marsal,5,4.2,2,40,9
Amazing.com,1,3.4,2,11,5
Amazon,7,3.9,3,29,12
AMC Networks,5,3.4,3,17,10
Amdocs,7,3.8,3,41,10
Amerant Bank,4,2.9,3,36,7
Ameren,6,3.9,3,119,11
American Access Casualty Company,3,2.7,2,24,7
American Airlines,7,3.8,3,97,12
American Auto Shield,3,4.2,2,21,4
American Bancshares Mortgage,2,4.1,2,28,4
American Bar Association,4,2.8,8,145,7
American Bureau of Shipping,5,3.3,9,161,9
American Bureau of Shipping,5,3.4,9,161,9
American Chemical Society,5,3,8,147,8
American College of Radiology,3,3.7,8,100,7
American CyberSystems,7,4,2,25,8
"American Cybersystems, Inc.",7,4,2,25,8
American Enterprise Institute,2,4.7,8,80,6
American Family Insurance,6,3.5,2,96,11
American Heart Association,5,4,8,99,8
American Homes 4 Rent,5,3.8,3,11,8
American Institute of Aeronautics and Astronautics,2,3.8,8,60,4
American Institutes for Research,5,3.1,8,77,7
American International Group,7,3.2,3,104,12
American Management Services,2,3.2,2,37,5
"American Municipal Power, Inc",3,2.7,6,52,9
American National Insurance,1,3.1,3,118,10
American Red Cross,7,3.2,8,142,10
American Specialty Health,5,2.9,2,36,7
American Specialty Health Incorporated,5,2.9,2,36,7
American Strategic Insurance,5,3.8,13,26,9
AMERICAN SYSTEMS,5,3.7,2,48,7
American Tire Distributors,5,2.7,2,88,11
American Tire Distributors,5,2.8,2,88,11
Amerihealth,6,3.7,13,26,5
AmeriHealth Caritas,6,3.1,2,40,11
Ameris Bank,5,2.5,3,52,12
AmeriSave Mortgage Corporation,4,3.1,2,21,7
AmerisourceBergen,7,3.1,3,22,12
Amerit Consulting,2,3.5,2,21,3
"Ames IT and Numeric Solutions, LLC",1,3.6,2,12,2
AMG NATIONAL TRUST,2,4.5,2,51,5
AMI Network,1,4.5,2,13,2
Amida Technology Solutions,1,2.5,2,10,3
Amiseq Inc.,2,4.2,2,6,4
Amobee,4,3.8,2,18,8
Ampcus Inc,4,3.9,2,19,6
Ampcus Incorporated,4,3.9,2,19,6
Amplify,3,3.6,2,13,7
AmTrust Financial,6,3,2,25,11
Amway Corp,7,3.5,2,64,11
"Amyx, Inc.",4,4,2,24,6
Analog Devices,7,3.9,3,58,11
"Analog Devices, Inc.",7,3.9,3,58,11
Analogiks,1,5,2,6,1
Analysts International,4,3.8,3,57,7
Analytic Solutions Group,2,4.4,2,13,2
Analytica,2,3.7,2,14,4
Analytical Mechanics Associates,3,3.5,2,61,4
AnaptysBio Inc,2,3.8,3,18,3
AnaVation,2,4.3,2,10,4
AnaVation LLC,2,4.3,2,10,4
Andromeda Systems Incorporated,3,4.2,2,18,5
ANM,2,4.3,2,29,7
Ann & Robert H. Lurie Children's Hospital of Chicago,5,3.8,8,11,8
Anritsu,5,3.7,3,128,8
Ansell,7,3.3,3,118,9
Anthem,7,3.3,3,19,12
Anthem Health Plans of Virginia,5,4,13,88,9
Anzu Global,1,4.8,2,17,1
"AOC Solutions, Inc",2,3.8,2,27,2
"AOC Solutions, Inc.",2,3.8,2,27,2
Aon,7,3.5,3,131,12
Apache Corporation,5,3.5,3,69,12
APCO Worldwide,4,3.4,2,39,7
Apervita,2,4.8,2,10,3
Apex 2000,1,3,2,23,2
Apex Systems,5,3.8,13,28,10
Apidel Technologies,4,3.7,2,11,4
APN Staffing & Employment Solutions,1,4.1,2,32,8
"Apogee Integration, LLC",2,4.4,2,25,4
Apollo Global Management,5,3,3,33,9
Appen,5,3.6,3,27,6
Apple,7,4.1,3,47,12
Apple Federal Credit Union,3,3.9,8,67,10
AppleOne,5,3.3,2,59,9
AppleOne,5,3.2,2,59,9
Application Development Resources,3,4,2,23,4
Applications Software Technology LLC,4,4.6,2,28,6
Applied Industrial Technologies,6,2.8,3,100,10
Applied Information Sciences,4,4.5,2,41,6
Applied Materials,7,3.7,3,56,12
Applied Optoelectronics,5,2.3,3,26,7
"Applied Technical Services, Inc.",4,3,2,56,7
Apptricity Corporation,2,4.4,2,24,3
"AppZen, Inc.",3,3.8,2,11,3
Aptar Group,7,3.6,3,30,10
ApTask,3,3.9,2,13,6
Aptive,2,3.5,2,11,5
Aptive Resources,2,3.5,2,11,5
"Aptude, Inc",2,3.9,2,23,4
Aquinas Consulting,2,4.9,2,23,4
Aramark,7,3.2,3,64,12
Aramco Services Company,3,2.2,2,35,5
Arc Aspicio,2,2.9,2,19,4
ArcBest,7,3.6,3,100,10
Arch,5,3.6,3,23,12
Arch Capital Group Ltd.,5,3.5,3,23,12
Architecture Technology Corporation,2,4.5,2,42,3
ARCO the Design/Build Experts,5,4.1,2,31,9
Ardent Technologies,2,4.4,2,23,4
Arena,1,4.5,2,9,1
AREVA T&D,7,3.7,3,95,11
Argo Data,3,1.9,2,43,6
Argo Group US,5,3.5,3,75,9
Arizona College,3,4.5,11,33,5
Arizona State University,6,4.3,1,138,9
Arkadin,5,3.5,2,22,7
Arlon Graphics,2,4,13,65,7
Arm,6,4.2,13,33,9
Arrow Digital,2,3.6,2,18,4
Arrow Electronics,7,2.9,3,88,12
Arrow Fastener,3,2.9,2,94,7
Arrow Gear Company,3,2.9,2,76,5
ARS National Services,3,3,2,36,6
Artech LLC,6,3.9,2,31,8
Arthur Lawrence,3,4.1,2,20,1
ARYZTA,7,2.5,3,15,10
Asavie,2,3.7,2,19,5
ASB Resources,1,4,2,19,2
Ascend Performance Materials,5,3.4,2,14,10
Ascend Performance Materials,5,3.5,2,14,10
Ascend Technologies,1,4.4,2,25,2
Ascendo Resources,2,3.6,2,14,5
Ascension,7,3.3,8,24,7
Ascension Technologies,7,3.3,8,24,7
Ascent,5,4.6,2,23,7
Ascent Services Group,5,4.6,2,23,7
Ascential,5,3.4,3,76,7
Asembia,4,3.6,2,19,3
"ASK Staffing, Inc.",3,4.3,2,28,5
ASML,7,3.6,3,39,11
Aspen Systems,2,4.7,2,35,4
AspenTech,5,3.1,3,42,8
AspenTech,5,3,3,42,8
Aspiration,3,2.4,2,10,2
ASRC Federal,6,3.4,2,20,8
ASRC Federal Holding Company,6,3.4,2,20,8
ASRC Federal Holding Company LLC,6,3.4,2,20,8
Associated Bank,5,3.6,3,153,9
Association Analytics Inc,6,3.4,3,15,9
Assurant,7,3.4,3,45,11
AstraZeneca,7,4,3,110,12
Astreya,5,3.3,2,22,6
Astreya Partners,5,3.3,2,22,6
AT&T,7,3.4,3,40,12
ATB Financial,6,3.7,2,85,7
Athens Services,5,3,9,66,1
Athreya Inc,1,4.5,2,21,2
Atika Technologies,2,1,2,15,2
Atlas,2,3.2,2,24,4
Atlas Advisors,1,4.3,2,12,2
Atlas Data Systems,2,3.2,2,24,4
Atlas Executive Consulting,2,4,2,17,4
Atlas Research,3,3,2,15,6
Atmos Energy,5,3.8,3,117,10
Atmos Energy Corp.,5,3.8,3,117,10
Atos,7,3.4,3,104,12
"Atos Origin, Inc",7,3.4,3,104,12
Atos Syntel Inc.,7,3.5,13,43,9
ATR International,5,3.4,2,35,6
AtriCure,4,4.1,3,23,7
Atrilogy,2,4.9,2,23,5
"Atrilogy Solutions Group, Inc.",2,4.9,2,23,5
ATS Automation Tooling,5,3.6,3,45,8
ATUM,1,3.4,2,23,2
Atyeti,3,4.4,2,15,5
"Aunt Bertha, a Public Benefit Corp.",2,4.2,2,13,3
Auritas,3,4.4,2,20,6
Auritas LLC,3,4.4,2,20,6
Authentic Brands Group,2,2,2,13,8
Autodesk,6,4,3,41,10
AutoGrid Systems,2,2.7,2,12,3
Availity,4,4.2,2,22,7
AVANADE,7,3.9,2,23,10
Avanciers,1,3.9,2,8,10
AVANGRID,6,2.9,3,8,10
Avani Technology Solutions,4,4.5,2,15,6
Avanos,5,3.4,3,25,8
Avantax Wealth Management,4,1.7,3,40,8
Avantik,2,4.1,2,52,5
Avantor,7,2.4,3,119,10
"Aveshka, Inc",2,3.6,3,13,4
"Aveshka, Inc.",2,3.6,3,13,4
Avesta Computer Services,2,4.6,2,29,3
"Avetta, LLC",3,3.9,2,19,7
Aviana Global Technologies,1,4.2,2,29,4
"Aviana Global Technologies, Inc",1,4.2,2,29,4
Aviat Networks,4,3.5,3,16,7
AVID Technical Resources,2,4.8,2,20,4
AvidXchange,5,3.6,2,23,7
Aviva,7,3.5,3,162,11
AvMed Health Plans,4,3.1,8,27,8
Axiall,6,3.2,3,10,10
AXIOM,1,3,2,12,2
Axiom Group,2,4.7,2,36,5
AXIS Capital,5,3,3,22,10
Axis Capital Holdings,5,3,3,22,10
Axius Tek,2,3.7,2,16,5
Axon,5,3.7,3,32,7
Axos Bank,5,3.4,3,23,8
Axos Bank,5,3.3,3,23,8
Axos Bank,5,3.2,3,23,8
aXseum,2,3.1,2,21,4
AXSEUM Inc,2,3.1,2,21,4
Aya Healthcare,4,4.3,2,22,8
Azavea,1,4.6,2,23,2
Azusa Pacific University,5,3.9,1,124,7
B.E.A.T.,2,4.5,2,15,2
BAE Systems,7,3.7,3,24,12
BAE Systems USA,7,3.6,13,24,4
Baidu USA,2,4.2,3,23,6
Baldwin Krystyn Sherman Partners,4,3.7,2,17,6
Balfour Beatty,7,3.6,3,114,8
Balsam Brands,2,4.6,2,17,7
Banc of California,4,2.5,3,82,7
Bandai Namco Entertainment America,2,3.1,13,33,7
Bank of America,7,3.7,3,119,12
Bank of the West,7,2.8,13,149,10
BankFinancial,3,2.5,3,18,6
BankFinancial Corporation,3,2.5,3,18,6
Banner Bank,5,3.3,3,133,11
Banner Engineering,5,3.4,2,57,7
Banner Health,6,3.3,8,24,3
Baptist Health,5,3.2,8,60,7
Baptist Health South Florida,6,4,8,63,8
Baptist Memorial Health Care,7,3.3,8,111,8
Barbaricum,2,4.9,2,15,4
Barclays,7,3.8,3,333,12
Barclays Bank,7,3.8,3,333,12
Barings,5,3.9,2,7,12
Barrios Technology,4,3.7,2,30,5
Base One Technologies,2,3.5,2,29,3
Bass Pro Shops,7,3.2,2,52,10
Bath & Body Works,7,3.8,13,21,10
Battelle,7,3.1,8,94,11
Baxter,7,3.5,3,92,8
BayCare Health System,7,3.8,8,26,7
Bayer,6,4,2,160,12
Baylor College of Medicine,6,3.6,1,123,9
Baylor Scott & White Health,7,3.5,2,120,11
Bayview Asset Management,5,3.7,2,28,7
Bayview Financial,5,3.9,2,49,8
Bayview Loan Servicing,4,3.5,2,24,6
Bazaarvoice,4,3.7,2,18,7
Bazaarvoice,4,3.5,2,18,7
BBVA,7,3.6,2,166,10
BCforward,5,2.8,2,25,1
BD,7,3.6,3,126,12
BDO USA,6,3.7,2,113,9
BDP International,5,3,2,57,9
Be The Match,4,2.6,8,36,7
Beachbody,4,3.3,2,25,8
"Beacon Consulting Group, Inc.",1,3.9,2,24,4
Beacon Hill Staffing Group,4,4.6,2,23,8
Beacon Hill Staffing Group,4,4.5,2,23,8
"Beacon Hill Staffing Group, LLC",4,4.5,2,23,8
"Beacon Hill Staffing Group, LLC",4,4.6,2,23,8
Beaumont Health,7,3.2,7,9,10
Beckman Coulter Diagnostics,7,3.4,13,88,10
Beckman Coulter Life Sciences,7,3.4,13,88,10
Beeline,3,4.7,13,21,6
BeiGene,5,2.8,3,13,4
Bell Helicopter,6,3.8,13,88,10
Benjamin Moore,5,3.3,2,140,9
Bennett Aerospace,2,4.2,2,15,3
Bentley Systems,5,3.8,2,39,8
Bergaila,3,3,2,36,7
Berkley,6,3.3,3,56,11
Berkley Aspire,6,3.3,3,56,11
Berlin Packaging LLC,5,3.1,2,125,10
Bernard,4,2.5,2,34,5
BerryDunn,3,4.1,2,49,6
Bessemer Trust,4,3.1,2,116,7
"Best Western International, Inc.",5,3.6,2,77,7
Beth Israel Lahey Health,6,3.1,7,11,4
BetterHelp,2,4.4,13,10,6
Beyond Meat,2,3.1,3,14,2
BGIS,6,3.8,3,31,7
BGRS,5,3.2,2,59,8
BHI Energy,5,3.1,2,44,7
BICP,1,5,2,14,4
BIDMC,7,3.6,8,27,9
BigCommerce,4,4,2,14,6
Bigfoot Biomedical,2,4.1,2,9,1
Bill.com,4,3.6,3,17,6
BioBridge Global,4,2.2,8,10,2
BioDuro,4,3.2,2,18,3
Biogen,6,3.6,3,45,12
Biola University,5,4.1,1,115,7
BioLegend,4,2.9,2,21,7
Bio-Rad,6,3.3,3,71,10
Biorev,2,4.8,2,12,2
Bioworld Merchandising,3,2.3,2,24,7
Bitdefender,5,3.8,2,22,7
"BizTek People, Inc.",2,4.6,2,13,3
BKD,5,4.2,2,100,8
Black & Veatch,7,3.6,2,108,10
Black Knight Financial Services,6,2.9,3,10,1
Black Knight Inc,6,2.9,3,10,1
Black Rifle Coffee Company,3,4.3,2,9,6
Black Systems LLC,3,4.4,2,16,5
Blackbaud,5,3.6,3,42,8
Blackberry,5,3.3,3,39,11
"Blackhawk Network, Inc.",5,3.4,2,22,9
BlackLine,4,3.9,3,22,7
Blue Apron,5,2.9,3,11,7
Blue Chip Marketing Worldwide,2,3,2,41,6
Blue Cross and Blue Shield of North Carolina,5,3.7,2,90,11
Blue Cross and Blue Shield of Vermont,3,4.6,8,43,7
Blue Cross Blue Shield of Florida,7,3.3,8,79,12
Blue Origin,5,2.9,2,23,4
Blue Shield of California,6,4.1,8,84,12
Blue State,2,3.4,13,19,5
Blue Yonder,6,4.3,2,38,9
"Bluebeam, Inc.",3,3.5,13,21,7
Bluehost,2,2.7,2,20,7
BMC HealthNet Plan,4,2.9,8,26,9
BMO,7,3.2,13,141,10
BMO Financial Group,7,3.7,3,206,12
BNSF,7,3,13,174,12
BNY Mellon,7,3.2,3,239,12
Boardwalk Pipelines,5,3.8,13,18,9
Bob Evans Farms,5,3.2,3,70,7
Boehringer Ingelheim,7,3.9,2,138,12
Boeing,7,3.7,3,107,12
Bombas,2,4.9,2,10,7
Booz Allen Hamilton,7,3.8,3,109,11
Booz Allen Hamilton Inc.,7,3.8,3,109,11
Bosch Group,7,4,2,137,12
Bosch Group,7,4.1,2,137,12
Boston Children's Hospital,6,3.9,8,154,8
Boston Children's Hospital,6,4,8,154,8
Boston Conservatory,3,4.5,1,25,5
Boston Consulting Group,7,4.3,2,60,3
Boston IVF,2,2.2,2,37,5
Boston Medical Center,5,3.8,8,27,9
Boston Properties,4,3.9,3,53,10
Boston University,7,4.2,1,184,9
Bowhead,5,3.1,13,24,7
Box,5,4.3,3,18,8
Boxer Property Management,4,2.2,2,31,4
Boyd Company,6,2.8,2,25,9
Boyd Company,6,2.6,2,25,9
Boys & Girls Club of Greater Milwaukee,4,3.8,8,163,9
Brady,6,3.6,3,109,9
Brady Corporation,6,3.6,3,109,9
Braintree,4,3.5,3,16,8
Braviant Holdings,2,4.8,2,9,6
Braze,4,4.3,2,12,7
Bridgepoint Consulting,2,4.3,2,24,4
BridgeView IT,1,3.8,2,18,4
Brigham and Women's Hospital,6,3.9,13,27,9
Bright Health,3,3.9,2,8,7
Brightwing,2,3.8,2,50,3
Briljent,2,3.5,2,25,4
Brillient,4,3.9,2,17,5
"Brillio, LLC",5,3.1,2,9,7
"Brinjac Engineering, Inc.",2,2,2,55,4
Brink's,7,2.7,3,164,10
Bristlecone,5,3.5,2,25,7
Bristol-Myers Squibb,7,3.8,3,165,12
Bristol-Myers Squibb,7,3.9,3,165,12
Bristow Group Inc,5,3.3,3,68,10
"Britech Group, Inc.",1,4.3,2,19,2
British American Tobacco,7,3.8,3,121,12
Broadcom,7,3.4,3,32,11
Broadridge,7,3.5,3,16,11
Broadridge,7,3.6,3,16,11
Broadridge Financial Solutions,7,3.5,3,16,11
Broadway Bank,4,3.9,2,82,7
Brookfield Properties’ retail group,5,3.9,13,37,10
Brooklyn Community Services,3,2.5,8,137,5
Brooks Rehabilitation,5,3.4,8,38,7
Brooksource,4,4.6,2,23,7
Brown Brothers Harriman,5,3.3,2,205,10
Bruker Corporation,6,3.2,3,63,9
BSI America,2,2.4,13,122,4
bswift,4,2.4,13,23,6
BTAS,3,3.1,2,28,4
BTG,1,3.9,3,102,1
BTI Solutions,3,2.3,2,17,5
BTS,4,4.3,3,37,7
Buchanan & Edwards,3,3.5,2,25,6
"Buckeye Partners, L.P.",5,3.2,3,137,11
Burlington Stores,7,3.1,3,51,11
Burns & McDonnell,6,3.8,2,125,9
Business Insider,3,3.4,2,16,6
"Business Management Associates, Inc.",2,4,2,18,4
Business Monitor International,2,2.2,2,39,6
BuzzClan LLC,1,4.2,2,10,3
BWX Technologies,6,3.4,3,173,8
C&S Wholesale Grocers,7,2.8,2,105,12
C.H. Robinson,7,3.3,3,118,12
C3.ai,3,4.7,2,14,7
Cabela's,7,2.9,3,62,10
Cable One,5,3.4,3,37,8
"Cable One, Inc.",5,3.4,3,37,8
CACI,7,3.6,3,61,10
CACI International,7,3.6,3,61,10
Cadence,1,4.7,2,9,2
Cadence Design Systems,6,4.1,3,35,9
"Cadence Design Systems, Inc.",6,4.1,3,35,9
CAE,7,4,3,76,10
CAE,7,3.9,3,76,10
CALIBRE Systems,4,3.7,2,34,7
California Bank & Trust,5,3,13,25,7
California Department of Industrial Relations,5,2.9,6,96,8
California State University,7,4.1,1,61,10
Calix,4,4.6,3,24,7
CALNET,3,3.5,2,34,3
CalOptima,5,2.4,6,30,10
Calpine,5,3.8,2,39,11
Cambium Learning Group,4,3.1,2,19,7
"Cambridge Investment Research, Inc.",4,3.3,2,42,7
Cambridge Systematics,3,4.3,2,51,6
Campbell Soup Company,7,3.2,3,154,11
CAMRIS International,3,4,2,20,6
CAMSO,6,3.3,2,41,9
Canadian Tire Corporation,6,3.6,3,101,12
Canvas InfoTech Inc.,1,4.1,2,17,2
Capax Global,2,4.7,13,25,5
Capco,6,3.9,3,25,8
Capgemini,7,3.8,3,56,12
CAPITAL AREA FOOD BANK,2,2.7,8,43,6
Capital Group,6,3.9,2,92,9
Capital Metro,5,2.9,3,38,5
Capital One,7,3.9,3,29,12
CapTech,5,3.9,2,26,7
Cardinal Health,7,3.4,3,52,12
Cardtronics,5,2.7,3,22,9
Care.com,4,3.6,2,16,7
Career Movement,1,4.8,2,24,2
"CareSource, LLC",5,4,8,34,11
CareWorks Technologies,2,3.6,2,24,5
Cargill,7,3.9,2,158,12
Carillon Assisted Living,4,2,2,27,5
Caring.com,3,3.1,2,16,2
"Carollo Engineers, Inc",5,4.1,2,90,7
CaroMont Health,5,3.3,8,39,5
Carrier,7,3.1,13,121,12
CAS,5,3.1,13,116,7
CASES,3,3.5,8,34,4
Cask Technologies,2,3.7,2,19,1
Casting Networks,2,3.4,2,21,4
Castlight Health,3,3.3,3,15,7
Catalent Pharma,7,3.1,3,16,2
Catalina Marketing,5,3.1,2,40,8
Catapult Systems,3,4.4,2,30,6
Caterpillar,7,3.8,3,98,12
Cathay General Bancorp,5,3.2,3,33,8
Catholic Diocese Of Fort Worth,5,3.5,2,54,4
Catholic Health Services of Long Island,7,3.1,8,26,5
"Cavco Industries, Inc.",6,2.2,3,20,9
CB Insights,3,4.1,2,14,5
cbanc,1,4.8,2,14,1
Cboe Global Markets,4,3.7,3,50,8
CBS Interactive,5,3.7,13,31,8
CBS Television Network,6,3.7,13,23,10
"CCC Information Services, Inc.",5,3.7,2,43,8
CDM Smith,6,3.9,2,76,9
CDO Technologies Inc,3,3.3,2,28,6
CDW,6,3.8,3,39,12
CDW,6,3.9,3,39,12
Cedar Fair,7,3.9,3,40,9
Cedars-Sinai,7,3.9,8,121,10
Celanese,5,3.8,3,19,11
Celerion,5,3,2,13,7
Celerity,3,4.1,13,21,6
CenCore LLC,2,4,2,13,2
Cengage,5,3.9,2,16,9
Cenlar,5,2.5,2,65,7
Centene,7,3.3,3,39,12
Centene Corporation,7,3.3,3,39,12
