Company Name,Company Rating,Global Size,Company Rating,Company Ownership Type,Company Rating,Company Age,Company Rating,Est Yearly Revenue
AmeriSave Mortgage Corporation,3.1,4,3.1,2,3.1,21,3.1,7
AmerisourceBergen,3.1,7,3.1,3,3.1,22,3.1,12
Amerit Consulting,3.5,2,3.5,2,3.5,21,3.5,3
"Ames IT and Numeric Solutions, LLC",3.6,1,3.6,2,3.6,12,3.6,2
AMG NATIONAL TRUST,4.5,2,4.5,2,4.5,51,4.5,5
AMI Network,4.5,1,4.5,2,4.5,13,4.5,2
Amida Technology Solutions,2.5,1,2.5,2,2.5,10,2.5,3
Amiseq Inc.,4.2,2,4.2,2,4.2,6,4.2,4
Amobee,3.8,4,3.8,2,3.8,18,3.8,8
Ampcus Inc,3.9,4,3.9,2,3.9,19,3.9,6
Ampcus Incorporated,3.9,4,3.9,2,3.9,19,3.9,6
Amplify,3.6,3,3.6,2,3.6,13,3.6,7
AmTrust Financial,3,6,3,2,3,25,3,11
Amway Corp,3.5,7,3.5,2,3.5,64,3.5,11
"Amyx, Inc.",4,4,4,2,4,24,4,6
Analog Devices,3.9,7,3.9,3,3.9,58,3.9,11
"Analog Devices, Inc.",3.9,7,3.9,3,3.9,58,3.9,11
Analogiks,5,1,5,2,5,6,5,1
Analysts International,3.8,4,3.8,3,3.8,57,3.8,7
Analytic Solutions Group,4.4,2,4.4,2,4.4,13,4.4,2
Analytica,3.7,2,3.7,2,3.7,14,3.7,4
Analytical Mechanics Associates,3.5,3,3.5,2,3.5,61,3.5,4
AnaptysBio Inc,3.8,2,3.8,3,3.8,18,3.8,3
AnaVation,4.3,2,4.3,2,4.3,10,4.3,4
AnaVation LLC,4.3,2,4.3,2,4.3,10,4.3,4
Andromeda Systems Incorporated,4.2,3,4.2,2,4.2,18,4.2,5
ANM,4.3,2,4.3,2,4.3,29,4.3,7
Ann & Robert H. Lurie Children's Hospital of Chicago,3.8,5,3.8,8,3.8,11,3.8,8
Anritsu,3.7,5,3.7,3,3.7,128,3.7,8
Ansell,3.3,7,3.3,3,3.3,118,3.3,9
Anthem,3.3,7,3.3,3,3.3,19,3.3,12
Anthem Health Plans of Virginia,4,5,4,13,4,88,4,9
Anzu Global,4.8,1,4.8,2,4.8,17,4.8,1
"AOC Solutions, Inc",3.8,2,3.8,2,3.8,27,3.8,2
"AOC Solutions, Inc.",3.8,2,3.8,2,3.8,27,3.8,2
Aon,3.5,7,3.5,3,3.5,131,3.5,12
Apache Corporation,3.5,5,3.5,3,3.5,69,3.5,12
APCO Worldwide,3.4,4,3.4,2,3.4,39,3.4,7
Apervita,4.8,2,4.8,2,4.8,10,4.8,3
Apex 2000,3,1,3,2,3,23,3,2
Apex Systems,3.8,5,3.8,13,3.8,28,3.8,10
Apidel Technologies,3.7,4,3.7,2,3.7,11,3.7,4
APN Staffing & Employment Solutions,4.1,1,4.1,2,4.1,32,4.1,8
"Apogee Integration, LLC",4.4,2,4.4,2,4.4,25,4.4,4
Apollo Global Management,3,5,3,3,3,33,3,9
Appen,3.6,5,3.6,3,3.6,27,3.6,6
Apple,4.1,7,4.1,3,4.1,47,4.1,12
Apple Federal Credit Union,3.9,3,3.9,8,3.9,67,3.9,10
AppleOne,3.3,5,3.3,2,3.3,59,3.3,9
AppleOne,3.2,5,3.2,2,3.2,59,3.2,9
Application Development Resources,4,3,4,2,4,23,4,4
Applications Software Technology LLC,4.6,4,4.6,2,4.6,28,4.6,6
Applied Industrial Technologies,2.8,6,2.8,3,2.8,100,2.8,10
Applied Information Sciences,4.5,4,4.5,2,4.5,41,4.5,6
Applied Materials,3.7,7,3.7,3,3.7,56,3.7,12
Applied Optoelectronics,2.3,5,2.3,3,2.3,26,2.3,7
"Applied Technical Services, Inc.",3,4,3,2,3,56,3,7
Apptricity Corporation,4.4,2,4.4,2,4.4,24,4.4,3
"AppZen, Inc.",3.8,3,3.8,2,3.8,11,3.8,3
Aptar Group,3.6,7,3.6,3,3.6,30,3.6,10
ApTask,3.9,3,3.9,2,3.9,13,3.9,6
Aptive,3.5,2,3.5,2,3.5,11,3.5,5
Aptive Resources,3.5,2,3.5,2,3.5,11,3.5,5
"Aptude, Inc",3.9,2,3.9,2,3.9,23,3.9,4
Aquinas Consulting,4.9,2,4.9,2,4.9,23,4.9,4
Aramark,3.2,7,3.2,3,3.2,64,3.2,12
Aramco Services Company,2.2,3,2.2,2,2.2,35,2.2,5
Arc Aspicio,2.9,2,2.9,2,2.9,19,2.9,4
ArcBest,3.6,7,3.6,3,3.6,100,3.6,10
Arch,3.6,5,3.6,3,3.6,23,3.6,12
Arch Capital Group Ltd.,3.5,5,3.5,3,3.5,23,3.5,12
Architecture Technology Corporation,4.5,2,4.5,2,4.5,42,4.5,3
ARCO the Design/Build Experts,4.1,5,4.1,2,4.1,31,4.1,9
Ardent Technologies,4.4,2,4.4,2,4.4,23,4.4,4
Arena,4.5,1,4.5,2,4.5,9,4.5,1
AREVA T&D,3.7,7,3.7,3,3.7,95,3.7,11
Argo Data,1.9,3,1.9,2,1.9,43,1.9,6
Argo Group US,3.5,5,3.5,3,3.5,75,3.5,9
Arizona College,4.5,3,4.5,11,4.5,33,4.5,5
Arizona State University,4.3,6,4.3,1,4.3,138,4.3,9
Arkadin,3.5,5,3.5,2,3.5,22,3.5,7
Arlon Graphics,4,2,4,13,4,65,4,7
Arm,4.2,6,4.2,13,4.2,33,4.2,9
Arrow Digital,3.6,2,3.6,2,3.6,18,3.6,4
Arrow Electronics,2.9,7,2.9,3,2.9,88,2.9,12
Arrow Fastener,2.9,3,2.9,2,2.9,94,2.9,7
Arrow Gear Company,2.9,3,2.9,2,2.9,76,2.9,5
ARS National Services,3,3,3,2,3,36,3,6
Artech LLC,3.9,6,3.9,2,3.9,31,3.9,8
Arthur Lawrence,4.1,3,4.1,2,4.1,20,4.1,1
ARYZTA,2.5,7,2.5,3,2.5,15,2.5,10
Asavie,3.7,2,3.7,2,3.7,19,3.7,5
ASB Resources,4,1,4,2,4,19,4,2
Ascend Performance Materials,3.4,5,3.4,2,3.4,14,3.4,10
Ascend Performance Materials,3.5,5,3.5,2,3.5,14,3.5,10
Ascend Technologies,4.4,1,4.4,2,4.4,25,4.4,2
Ascendo Resources,3.6,2,3.6,2,3.6,14,3.6,5
Ascension,3.3,7,3.3,8,3.3,24,3.3,7
Ascension Technologies,3.3,7,3.3,8,3.3,24,3.3,7
Ascent,4.6,5,4.6,2,4.6,23,4.6,7
Ascent Services Group,4.6,5,4.6,2,4.6,23,4.6,7
Ascential,3.4,5,3.4,3,3.4,76,3.4,7
Asembia,3.6,4,3.6,2,3.6,19,3.6,3
"ASK Staffing, Inc.",4.3,3,4.3,2,4.3,28,4.3,5
ASML,3.6,7,3.6,3,3.6,39,3.6,11
Aspen Systems,4.7,2,4.7,2,4.7,35,4.7,4
AspenTech,3.1,5,3.1,3,3.1,42,3.1,8
AspenTech,3,5,3,3,3,42,3,8
Aspiration,2.4,3,2.4,2,2.4,10,2.4,2
ASRC Federal,3.4,6,3.4,2,3.4,20,3.4,8
ASRC Federal Holding Company,3.4,6,3.4,2,3.4,20,3.4,8
ASRC Federal Holding Company LLC,3.4,6,3.4,2,3.4,20,3.4,8
Associated Bank,3.6,5,3.6,3,3.6,153,3.6,9
Association Analytics Inc,3.4,6,3.4,3,3.4,15,3.4,9
Assurant,3.4,7,3.4,3,3.4,45,3.4,11
AstraZeneca,4,7,4,3,4,110,4,12
Astreya,3.3,5,3.3,2,3.3,22,3.3,6
Astreya Partners,3.3,5,3.3,2,3.3,22,3.3,6
AT&T,3.4,7,3.4,3,3.4,40,3.4,12
ATB Financial,3.7,6,3.7,2,3.7,85,3.7,7
Athens Services,3,5,3,9,3,66,3,1
Athreya Inc,4.5,1,4.5,2,4.5,21,4.5,2
Atika Technologies,1,2,1,2,1,15,1,2
Atlas,3.2,2,3.2,2,3.2,24,3.2,4
Atlas Advisors,4.3,1,4.3,2,4.3,12,4.3,2
Atlas Data Systems,3.2,2,3.2,2,3.2,24,3.2,4
Atlas Executive Consulting,4,2,4,2,4,17,4,4
Atlas Research,3,3,3,2,3,15,3,6
Atmos Energy,3.8,5,3.8,3,3.8,117,3.8,10
Atmos Energy Corp.,3.8,5,3.8,3,3.8,117,3.8,10
Atos,3.4,7,3.4,3,3.4,104,3.4,12
"Atos Origin, Inc",3.4,7,3.4,3,3.4,104,3.4,12
Atos Syntel Inc.,3.5,7,3.5,13,3.5,43,3.5,9
ATR International,3.4,5,3.4,2,3.4,35,3.4,6
AtriCure,4.1,4,4.1,3,4.1,23,4.1,7
Atrilogy,4.9,2,4.9,2,4.9,23,4.9,5
"Atrilogy Solutions Group, Inc.",4.9,2,4.9,2,4.9,23,4.9,5
ATS Automation Tooling,3.6,5,3.6,3,3.6,45,3.6,8
ATUM,3.4,1,3.4,2,3.4,23,3.4,2
Atyeti,4.4,3,4.4,2,4.4,15,4.4,5
"Aunt Bertha, a Public Benefit Corp.",4.2,2,4.2,2,4.2,13,4.2,3
Auritas,4.4,3,4.4,2,4.4,20,4.4,6
Auritas LLC,4.4,3,4.4,2,4.4,20,4.4,6
Authentic Brands Group,2,2,2,2,2,13,2,8
Autodesk,4,6,4,3,4,41,4,10
AutoGrid Systems,2.7,2,2.7,2,2.7,12,2.7,3
Availity,4.2,4,4.2,2,4.2,22,4.2,7
AVANADE,3.9,7,3.9,2,3.9,23,3.9,10
Avanciers,3.9,1,3.9,2,3.9,8,3.9,10
AVANGRID,2.9,6,2.9,3,2.9,8,2.9,10
Avani Technology Solutions,4.5,4,4.5,2,4.5,15,4.5,6
Avanos,3.4,5,3.4,3,3.4,25,3.4,8
Avantax Wealth Management,1.7,4,1.7,3,1.7,40,1.7,8
Avantik,4.1,2,4.1,2,4.1,52,4.1,5
Avantor,2.4,7,2.4,3,2.4,119,2.4,10
"Aveshka, Inc",3.6,2,3.6,3,3.6,13,3.6,4
"Aveshka, Inc.",3.6,2,3.6,3,3.6,13,3.6,4
Avesta Computer Services,4.6,2,4.6,2,4.6,29,4.6,3
"Avetta, LLC",3.9,3,3.9,2,3.9,19,3.9,7
Aviana Global Technologies,4.2,1,4.2,2,4.2,29,4.2,4
"Aviana Global Technologies, Inc",4.2,1,4.2,2,4.2,29,4.2,4
Aviat Networks,3.5,4,3.5,3,3.5,16,3.5,7
AVID Technical Resources,4.8,2,4.8,2,4.8,20,4.8,4
AvidXchange,3.6,5,3.6,2,3.6,23,3.6,7
Aviva,3.5,7,3.5,3,3.5,162,3.5,11
AvMed Health Plans,3.1,4,3.1,8,3.1,27,3.1,8
Axiall,3.2,6,3.2,3,3.2,10,3.2,10
AXIOM,3,1,3,2,3,12,3,2
Axiom Group,4.7,2,4.7,2,4.7,36,4.7,5
AXIS Capital,3,5,3,3,3,22,3,10
Axis Capital Holdings,3,5,3,3,3,22,3,10
Axius Tek,3.7,2,3.7,2,3.7,16,3.7,5
Axon,3.7,5,3.7,3,3.7,32,3.7,7
Axos Bank,3.4,5,3.4,3,3.4,23,3.4,8
Axos Bank,3.3,5,3.3,3,3.3,23,3.3,8
Axos Bank,3.2,5,3.2,3,3.2,23,3.2,8
aXseum,3.1,2,3.1,2,3.1,21,3.1,4
AXSEUM Inc,3.1,2,3.1,2,3.1,21,3.1,4
Aya Healthcare,4.3,4,4.3,2,4.3,22,4.3,8
Azavea,4.6,1,4.6,2,4.6,23,4.6,2
Azusa Pacific University,3.9,5,3.9,1,3.9,124,3.9,7
B.E.A.T.,4.5,2,4.5,2,4.5,15,4.5,2
BAE Systems,3.7,7,3.7,3,3.7,24,3.7,12
BAE Systems USA,3.6,7,3.6,13,3.6,24,3.6,4
Baidu USA,4.2,2,4.2,3,4.2,23,4.2,6
Baldwin Krystyn Sherman Partners,3.7,4,3.7,2,3.7,17,3.7,6
Balfour Beatty,3.6,7,3.6,3,3.6,114,3.6,8
Balsam Brands,4.6,2,4.6,2,4.6,17,4.6,7
Banc of California,2.5,4,2.5,3,2.5,82,2.5,7
Bandai Namco Entertainment America,3.1,2,3.1,13,3.1,33,3.1,7
Bank of America,3.7,7,3.7,3,3.7,119,3.7,12
Bank of the West,2.8,7,2.8,13,2.8,149,2.8,10
BankFinancial,2.5,3,2.5,3,2.5,18,2.5,6
BankFinancial Corporation,2.5,3,2.5,3,2.5,18,2.5,6
Banner Bank,3.3,5,3.3,3,3.3,133,3.3,11
Banner Engineering,3.4,5,3.4,2,3.4,57,3.4,7
Banner Health,3.3,6,3.3,8,3.3,24,3.3,3
Baptist Health,3.2,5,3.2,8,3.2,60,3.2,7
Baptist Health South Florida,4,6,4,8,4,63,4,8
Baptist Memorial Health Care,3.3,7,3.3,8,3.3,111,3.3,8
Barbaricum,4.9,2,4.9,2,4.9,15,4.9,4
Barclays,3.8,7,3.8,3,3.8,333,3.8,12
Barclays Bank,3.8,7,3.8,3,3.8,333,3.8,12
