Company ID,Company Name,Size,Industry,Rating,Headquarters,Ownership,Company Age,Est Yearly Revenue
53,Marsh,7,63,3.5,33,13,152,9
54,RMS Computer Corp.,3,24,3,33,2,38,5
55,Medidata Solutions,5,37,4.3,33,3,24,8
56,Ampcus Incorporated,4,26,3.9,44,2,19,6
57,Amazon,7,65,3.9,46,3,29,12
58,Xoriant Corporation,5,67,3.6,5,2,33,7
59,HUB International,7,63,3.5,15,2,25,9
60,SmartLinx Solutions,2,37,3.5,30,2,23,5
61,Ross Stores,7,32,3.3,5,3,66,12
62,AMC Networks,5,113,3.4,33,3,17,10
63,EDI Staffing,2,102,4.6,20,2,29,4
64,HSBC,7,12,3.7,75,3,158,12
65,DATA Inc.,4,67,4.3,30,2,40,6
66,Apex Systems,5,102,3.8,44,13,28,10
67,emids,5,67,3.7,41,2,24,7
68,Adorama,4,27,4.1,33,2,44,5
69,Wolters Kluwer,7,26,3.2,67,3,187,10
70,Genesis10,5,26,4,33,2,24,7
71,SMBC Group,7,66,3.4,65,3,27,12
72,Atlas Data Systems,2,102,3.2,30,2,24,4
73,Prudential,7,66,3.6,30,3,148,12
74,Tata Consultancy Services,7,24,3.8,61,3,55,12
75,Arch Capital Group Ltd.,5,64,3.5,52,3,23,12
76,NJF Global Holdings,2,102,4.2,75,2,20,4
77,Eclaro,4,102,3.5,33,2,24,5
78,S&P Global,7,42,3.8,33,3,135,11
79,Guy Carpenter,5,63,3.4,33,13,101,7
80,Synechron,6,67,3.6,33,2,22,7
81,Municipal Credit Union,4,12,2.7,33,8,107,6
82,Mills College,3,21,3.7,5,1,171,6
83,Infomatics Corp,2,26,4.1,44,2,18,4
84,Centene,7,64,3.3,25,3,39,12
85,Diverse Lynx,4,67,3.9,30,2,21,7
86,Brown Brothers Harriman,5,66,3.3,33,2,205,10
87,Tata Consultancy Services (North America),7,67,3.7,33,13,55,12
88,"Iconma, L.L.C.",5,102,3.6,23,2,23,7
89,Seven Seven Softwares,3,67,3.1,30,3,27,4
90,V.L.S. Systems,3,26,3.3,44,2,17,5
91,Rockstar Games,5,118,4,33,13,25,4
92,Capgemini,7,37,3.8,57,3,56,12
93,The New School,5,21,3.7,33,1,104,7
94,Formosa Plastics Corp.,5,20,3.5,30,13,45,9
95,"TTI of USA, Inc.",3,102,2.6,33,2,28,4
96,Metropolitan Jewish Health System,5,55,3.2,33,8,117,9
97,Vera Institute of Justice,3,99,3.2,33,8,62,7
98,Talon,2,102,4.4,30,2,22,5
99,Finastra,7,43,3.2,75,2,6,10
100,Gate Staffing LLC,1,67,2.8,33,12,13,2
101,PROLIM Global Corporation,3,37,3.3,23,2,18,5
102,Staid Logic LLC,2,67,4.7,34,2,17,4
103,ZT Systems,5,24,3.5,30,2,29,10
104,Saven Technologies Inc.,3,67,3.8,30,2,24,4
105,22nd Century Technologies,5,67,3.7,30,2,26,5
106,Wynden Stark,2,102,3.8,5,2,14,5
107,"EDP World, Inc.",1,102,3.5,33,2,55,2
108,Robert Half,7,102,3.5,5,3,75,10
109,"Staffigo Technical Services, LLC",2,67,5,15,2,15,6
110,Creative Financial Staffing,3,102,4.5,20,2,29,6
111,Infinity Consulting Solutions,4,102,3.4,33,2,22,7
112,"TEKsystems, Inc",5,102,3.9,21,13,40,10
113,IHS Markit,7,26,3.5,75,3,7,10
114,"Cyberthink, Inc",3,67,3.6,30,2,27,5
115,InfoSmart Technologies Inc,2,37,4.5,11,2,25,3
116,Kforce,7,102,4.1,10,3,57,9
117,comScore,5,3,2.7,44,3,24,9
118,STAND 8 Technology Services,2,26,3.9,5,2,14,4
119,Plymouth Rock Assurance,5,64,3.4,20,2,41,4
120,Frontend Arts,1,37,4.5,42,2,10,2
121,VLink Inc.,3,67,3.8,7,2,17,5
122,Gambit Technologies Inc,1,102,4.3,33,2,19,3
123,Genuent,3,102,3.5,42,2,17,7
124,NYU Langone Health,7,55,4.1,33,7,182,11
125,JPMorgan Chase & Co.,7,66,3.9,33,3,224,12
126,Montefiore Medical,7,55,3.7,33,8,139,10
127,Horizon Blue Cross Blue Shield of New Jersey,5,64,3.6,30,8,91,12
128,The Connors Group,1,102,5,30,2,22,1
129,Zen & Art,3,67,4,30,2,20,7
130,Macquarie Group,7,66,3.3,50,3,54,11
131,Shinetech Software,3,67,4.6,55,2,22,4
132,WinterWyman,2,102,4.3,20,2,51,7
133,Momentum Resource Solutions,2,102,3.7,30,4,25,4
134,American International Group,7,64,3.2,33,3,104,12
135,ingenium.agency,1,102,5,33,2,7,2
136,Argo Group US,5,64,3.5,52,3,75,9
137,Steven Winter Associates,2,36,4,7,2,51,4
138,Bessemer Trust,4,66,3.1,33,2,116,7
139,Vitech Systems Group Inc,5,37,3.5,33,2,37,7
140,Oloop Technology Solutions,2,102,4.8,15,2,12,3
141,ViacomCBS Inc.,7,78,3.6,33,3,4,12
142,Credit Suisse,7,66,3.8,74,3,167,12
143,eTeam Inc.,2,102,3.7,30,2,24,6
144,"SolGenie Technologies, Inc.",2,37,5,11,2,16,4
145,EY,7,1,3.8,75,2,34,12
146,AllianceBernstein,5,66,3.2,33,3,56,10
147,Imagine Software,2,24,3.9,33,2,30,4
148,Business Monitor International,2,90,2.2,75,2,39,6
149,Katalyst Technologies Inc.,4,37,2.8,15,2,12,6
150,Edmunds.com,4,65,3.6,5,2,57,7
151,NEXT Trucking,2,72,4,5,2,8,6
152,Age of Learning,4,68,3.3,5,2,16,7
153,Urban Science,4,67,3.1,23,2,46,7
154,Paramount Pictures,5,78,3.8,5,13,111,7
155,Raytheon Intelligence & Space,7,4,3.5,44,13,3,12
156,Johnsonville Sausage,5,44,4.4,47,2,78,9
157,Socalgas,6,114,4.4,5,13,94,10
158,Spin Master Ltd,5,29,2.7,54,3,29,10
159,Prosum,3,67,4,5,2,27,5
160,Sony Playstation Network,6,118,3.5,5,13,29,12
161,Dell,7,67,4.1,42,3,39,12
162,Stamps.com,5,24,3.2,5,3,27,7
163,Unico American Corporation,2,64,3.4,5,3,47,5
164,Evolent Health,5,55,2.9,44,3,12,5
165,Apollo Global Management,5,116,3,33,3,33,9
166,Odesus,2,26,3.8,5,2,22,3
167,Molina Healthcare,7,64,3.1,5,3,43,12
168,Intelliswift Software Inc,3,102,3,5,2,25,6
169,Honda,7,108,3.8,65,3,75,12
170,"Ames IT and Numeric Solutions, LLC",1,24,3.6,13,2,12,2
171,Enterprise Solutions Inc,2,102,3.8,15,2,23,5
172,King's Hawaiian,5,44,3.8,5,2,73,7
173,Rose International,5,102,4.5,25,2,30,7
174,Vmware,7,24,4.2,5,3,25,11
175,City of Hope,6,55,3.3,5,8,110,7
176,Career Movement,1,67,4.8,5,2,24,2
177,"iSpace, Inc",2,67,3.7,5,2,23,3
178,One Legacy,3,55,2.4,5,8,46,2
179,HNTB,5,6,3.5,25,2,109,7
180,Sidebench,1,65,4.5,5,2,11,2
181,Northrop Grumman,7,4,3.8,44,3,84,12
182,"Relevante, Inc.",2,26,3.1,37,2,21,4
183,Diversant LLC,5,102,3.8,30,2,18,7
184,Athens Services,5,109,3,5,9,66,1
185,Keyrus Group,5,67,3.9,57,3,27,7
186,Turner Broadcasting,7,113,3.7,33,13,20,12
187,L3Harris,7,4,3.4,10,3,4,12
188,Harbor Freight Tools,7,58,3.4,5,2,46,10
189,"Bluebeam, Inc.",3,24,3.5,5,13,21,7
190,Tutor Perini,6,25,2.3,5,3,129,11
191,Capital Group,6,66,3.9,5,2,92,9
192,Wellth Inc.,1,37,5,33,2,9,2
193,Midcom,2,26,3.5,5,2,44,4
194,CJ Cheiljedang,7,29,3,71,2,70,12
195,AppleOne,5,102,3.3,5,2,59,9
196,JM Eagle,5,61,2.5,5,2,40,9
197,Crystal Stairs,3,99,1.7,5,8,39,7
198,UST Global,7,67,4.1,5,2,24,9
199,Abbott Laboratories,7,55,3.6,15,3,135,12
200,Biola University,5,21,4.1,5,1,115,7
201,PEAK Technical Staffing USA,2,102,3.9,37,2,55,6
202,First Professional Services,2,65,5,30,13,5,2
203,Morgan Stanley,7,66,3.8,33,3,88,12
204,RemX,2,102,3.5,11,13,21,7
205,IT Resonance Inc,2,67,4.3,15,2,19,3
206,BlackLine,4,24,3.9,5,3,22,7
207,Management Consulting & Research,3,4,3.7,44,2,46,7
208,"Sterling Bank and Trust, FSB",3,12,3.3,23,3,39,6
209,Solekai Systems Corp,1,24,4.2,5,2,21,4
210,Wedbush Securities,4,66,3.3,5,2,68,7
211,Q Analysts,3,26,4.3,5,2,20,5
212,"ConsultNet, LLC",3,102,4.3,43,2,27,6
213,"The Judge Group, Inc.",5,102,3.5,37,2,53,7
214,First American Financial Corporation,7,64,3.4,5,3,134,11
215,University of Southern California,7,21,4.2,5,1,143,10
216,MedPOINT Management,1,55,3,5,2,27,3
217,Beckman Coulter Diagnostics,7,54,3.4,5,13,88,10
218,"Tentek, Inc.",2,26,2.6,5,2,31,4
219,Tecolote Research,4,4,3.8,5,2,50,6
220,99 Cents Only,7,50,2.8,5,2,41,9
221,Pharmavite,5,29,3.6,5,2,52,9
222,120VC,2,26,4.6,5,2,23,4
223,Disys,5,67,3.4,44,2,29,7
224,Beachbody,4,57,3.3,5,2,25,8
225,Hawker Pacific Aerospace,3,23,3.1,5,13,21,5
226,Arlon Graphics,2,29,4,5,13,65,7
227,Lincoln Financial,7,64,3.5,37,3,118,12
228,Casting Networks,2,37,3.4,5,2,21,4
229,Swinerton Builders,5,25,4,5,2,135,10
230,HireTalent,3,102,4.5,33,2,26,5
231,Bentley Systems,5,24,3.8,37,2,39,8
232,Amway Corp,7,29,3.5,23,2,64,11
233,"iSpace, Inc.",2,67,3.7,5,2,23,3
234,Paul Hastings,5,70,3.7,5,2,72,6
235,"E2 Consulting Engineers, Inc.",3,6,3.5,5,2,35,6
236,University of California,7,21,4.2,5,1,155,11
237,Activision Publishing,5,118,3.2,5,13,44,8
238,Gilead Sciences,7,14,3.4,5,3,36,12
239,LRW,4,3,3.6,5,2,50,7
240,Cedars-Sinai,7,55,3.9,5,8,121,10
241,Streamline Healthcare,2,67,2.9,23,2,20,4
242,The Wonderful Company,6,29,3.6,5,2,43,10
243,CompQsoft,2,26,3.5,42,2,26,4
244,HCL Technologies,7,24,3.5,61,3,32,11
245,"Genuent Global, LLC",3,102,3.5,42,2,17,7
246,Kite Pharma,5,14,3.4,5,3,15,4
247,NTT DATA Services,7,67,3.4,65,3,56,12
248,ICONMA,5,102,3.6,23,2,23,7
249,Allscripts,6,24,3.3,15,3,37,9
250,Newegg,5,86,2.7,5,2,23,10
251,iSpace Inc.,2,67,3.7,5,2,23,3
252,EMCORE Corporation,4,35,2.7,5,3,39,6
253,Littelfuse,7,35,3.7,15,3,96,9
254,LaSalle Investment,4,66,3.9,15,2,43,4
255,Sidley Austin LLP,5,70,4.5,15,2,157,9
256,Kraft Heinz Company,7,44,3,15,3,8,12
257,Wintrust Financial,5,12,3.9,15,3,32,8
258,Ritchie Bros.,5,25,3.2,54,3,65,8
259,True Value,5,58,3.4,15,2,75,9
260,Federal Reserve Bank of Chicago,5,41,3.5,15,6,109,10
261,Maven Wave Partners,3,26,4.5,15,2,15,6
262,Morningstar,6,42,4,15,3,39,9
263,Vizient,5,55,3.7,42,2,46,8
264,Braintree,4,43,3.5,15,3,16,8
265,Cloudbigdata Technologies,5,67,4.7,42,2,25,6
266,Upwork,3,102,3.9,5,3,9,7
267,Heidrick & Struggles,5,26,3.8,15,3,70,8
268,BMO,7,12,3.2,15,13,141,10
269,Foot Locker,7,32,3.6,33,3,49,11
270,Primex Plastics,5,61,3,16,13,58,7
271,BMO Financial Group,7,12,3.7,54,3,206,12
272,Tecture,1,65,3.7,15,2,21,2
273,Kelly,6,102,3.4,23,3,77,11
274,"Clarity Partners, LLC",2,67,4.6,15,2,19,4
275,The AZEK Company,5,29,3.5,15,2,40,8
276,Kemper,6,64,3.1,15,3,33,10
277,Intetics,3,24,4,10,2,28,4
278,RiverPoint,1,1,3.8,15,2,35,3
279,Nitel,2,17,3.4,15,2,26,6
280,Motorola Solutions,7,24,3.7,15,3,95,11
281,Fooda,3,67,3.4,15,2,12,1
282,The Chicago Housing Authority,5,80,3.2,15,2,89,1
283,CF Industries,5,20,3.3,15,3,77,11
284,"Evolent Health, Inc.",5,55,2.9,44,3,12,5
285,Molson Coors Brewing Company,7,44,3.8,15,3,249,10
286,CME Group,5,15,3.5,15,3,16,10
287,Feeding America,2,99,3.3,15,8,44,10
288,Productive Edge,2,24,4.1,15,2,15,4
289,Sprout Social,4,65,4.9,15,3,13,6
290,Thermo Fisher Scientific,7,14,3.4,20,3,121,12
291,Medix,3,102,3.5,15,2,22,7
292,Ventas,3,93,3.5,15,3,25,10
293,Griffith Foods,5,44,3.8,15,2,104,8
294,Computer Aid,5,67,3.3,37,2,42,8
295,AXIOM,1,25,3,14,2,12,2
296,"Metasys Technologies, Inc.",3,102,4.8,11,2,23,5
297,"Pyramid Consulting, Inc",5,24,3.7,11,2,27,7
298,MDLIVE Inc,3,55,4.1,10,2,14,6
299,University of Chicago,7,21,4,15,1,133,10
300,SoftVision - North America,5,67,4,33,2,29,7
301,Harris & Harris,4,66,2.9,15,2,55,6
302,Intellisys Technology,1,67,3.8,15,2,25,2
303,"CCC Information Services, Inc.",5,37,3.7,15,2,43,8
304,INTRALOT INC,6,24,2.9,59,2,31,6
305,Scotts Miracle-Gro,6,29,4.1,34,3,155,11
306,MMC Group,4,26,3.1,42,2,30,6
307,RGP,5,26,4.1,5,3,27,8
308,Aetna,7,64,3.3,7,3,170,12
309,TechUSA,5,102,2.7,21,2,25,7
310,Arrow Digital,2,37,3.6,10,2,18,4
311,Kalven Technologies,1,67,3,15,2,23,3
312,Perfect Search Media,1,3,4.2,15,2,13,2
313,Grainger,7,119,3.6,15,3,96,12
314,10th Magnitude,1,67,4.6,15,2,13,3
315,The Judge Group,5,102,3.5,37,2,53,7
316,Crystal Equation,2,67,3.9,15,2,17,5
317,The CRS Group,2,102,4.7,15,2,29,4
318,SMITH,2,3,4.1,46,2,22,6
319,"Thanx Media, Inc.",1,24,4.2,15,2,18,3
320,Focus Management Group,3,42,2.2,11,2,22,5
321,Oracle,7,37,3.6,5,3,46,12
322,RSM,7,1,3.8,15,10,59,11
323,Walgreens,7,33,3,15,3,122,12
324,U.S. Cellular,6,17,3.5,15,3,40,10
325,Kairos Technologies,2,67,4,42,2,20,3
326,Ann & Robert H. Lurie Children's Hospital of Chicago,5,55,3.8,15,8,11,8
327,Advocate Aurora Health,7,55,3.6,47,7,5,12
328,ServiceNow,7,37,3.7,5,3,19,10
329,Acumen Solutions,4,26,4.4,44,2,24,7
330,Pierce Washington,1,26,4.7,5,2,18,3
331,"SPINS, LLC",3,26,3.5,15,2,28,6
332,Rexnord Corporation,6,61,3.1,47,3,131,10
333,ComPsych,4,26,3.1,15,2,39,8
334,SDI Presence LLC,2,67,4,15,2,27,6
335,CRS Group,2,102,4.7,15,2,29,4
336,CultureFit Technology Staffing,1,3,5,15,2,26,2
337,Reyes Holdings,7,119,3.4,15,2,47,5
338,Empower Professionals,2,26,4.8,30,2,19,5
339,Equity Residential,5,93,4.2,15,3,30,10
340,TEKsystems,5,102,3.9,21,13,40,10
341,"Ricondo & Associates, Inc.",2,26,4.5,15,2,34,6
342,Maine Pointe,2,26,4.5,20,2,19,6
343,Old World Industries,3,20,3.1,15,2,50,9
344,Net2Source Inc.,5,102,3.2,30,2,16,7
345,Applications Software Technology LLC,4,67,4.6,15,2,28,6
346,INTL FCStone,5,15,3.8,33,3,36,12
347,InvenTech Info,3,67,4.8,61,2,13,2
348,Mondo,2,102,3.8,33,2,23,7
349,Exelon Corporation,7,36,3.9,15,3,23,12
350,William Blair,5,66,4.6,15,2,88,9
351,Riskonnect,3,37,3.7,11,2,16,7
352,"School Specialty, Inc.",5,34,2.7,47,3,64,8
353,Peterson Technology Partners,3,24,4.1,15,4,26,5
354,Guaranteed Rate,6,71,3.7,15,2,23,8
355,University of Chicago Medicine,5,55,3.6,15,8,37,9
356,Ascend Technologies,1,37,4.4,11,2,25,2
357,Rimini Street,5,67,3.3,32,3,18,7
358,"General Growth Properties, Inc.",5,93,3.9,15,13,37,10
359,Park Hudson International,1,102,3.8,33,2,21,5
360,BCforward,5,67,2.8,16,2,25,1
361,Bosch Group,7,77,4,23,2,137,12
362,JENSEN HUGHES,5,6,3.2,21,2,43,7
363,KGS Technology Group Inc,2,67,3.7,11,2,15,2
364,CNO Financial Group,5,64,2.7,16,3,44,10
365,"Kranze Technology Solutions, Inc",2,4,5,15,2,15,4
366,True Group,3,67,4.1,15,2,19,4
367,Strata Decision Technology,3,24,4.3,15,13,27,6
368,Braviant Holdings,2,71,4.8,15,2,9,6
369,"ServiceNow, Inc.",7,37,3.7,5,3,19,10
370,PayPal,7,65,3.9,5,3,25,12
371,G&A Partners,3,26,4.6,42,2,28,8
372,TC Energy,6,85,4,54,3,72,12
373,"Noah Consulting, Inc.",2,67,4.4,42,2,15,5
374,HCSS,3,24,4.2,42,2,37,6
375,Reynolds and Reynolds,5,24,3.5,34,2,157,10
376,Allegiance Bank,4,12,4.3,42,3,16,11
377,MeadWestVaco,7,77,3.2,11,3,8,12
378,Pattern Energy Group,3,36,3.8,5,3,14,7
379,Arthur Lawrence,3,26,4.1,5,2,20,1
380,Horne LLP,4,1,3.1,26,2,61,6
381,Willis Towers Watson,7,26,3.6,75,3,195,12
382,National Aeronautics and Space Administration,7,41,4.5,8,6,65,12
383,Murphy Oil,5,84,2.8,3,3,116,11
384,Energy Transfer Family of Partnerships,7,85,3.7,42,3,28,12
385,Universal Weather and Aviation,5,109,3.5,42,2,64,9
386,Phillips 66,7,36,3.9,42,3,11,12
387,"SCI Shared Resources, LLC",7,47,3.7,42,3,61,10
388,Power Costs Inc,3,24,3.4,35,2,31,4
389,Berkley,6,64,3.3,7,3,56,11
390,Virtus Partners LLC,3,66,2.8,42,2,18,4
391,Streebo,2,67,4.1,42,2,15,2
392,iland Internet Solutions Corporation,2,67,3.7,42,2,28,5
393,N.F. Smith & Associates,3,119,4.1,42,2,39,9
394,Harris County,6,55,3.2,42,6,57,7
395,Lionbridge,6,67,3.3,20,2,27,8
396,HealthHelp,3,55,2.5,42,13,24,6
397,Ongig,1,37,4.8,5,2,12,1
398,McLane Global,2,119,4,42,2,68,7
399,Aramark,7,16,3.2,37,3,64,12
400,Zolon Tech,3,67,4,44,2,25,5
401,Ignite Fueling Innovation,2,67,3.8,2,2,22,4
402,Pareto Systems,1,67,4.3,42,2,11,2
403,Imetris Corporation,1,57,4.2,23,2,23,1
404,Icon Consultants,5,102,3.8,42,2,25,7
405,Sysco,7,119,3.3,42,3,54,12
406,Crown Castle USA Inc,5,106,3.6,42,3,29,10
407,3degrees,2,16,4,5,2,16,5
408,Techpoint LLC,1,67,4.6,44,2,8,1
409,HIIG Service Company,3,64,2.5,42,2,16,8
410,Halliburton,7,85,3.5,42,3,104,12
411,Atrilogy,2,67,4.9,5,2,23,5
412,GoExpedi,2,84,3.2,42,2,6,5
413,COVETRUS INC,6,14,3.2,22,3,4,10
414,BBVA,7,12,3.6,72,2,166,10
415,"VMware, Inc.",7,24,4.2,5,3,25,11
416,Energy Transfer,7,85,3.7,42,3,28,12
417,Centene Corporation,7,64,3.3,25,3,39,12
418,Cypress-Fairbanks ISD,7,68,4,42,11,84,8
419,HOUSTON COMMUNITY COLLEGE SYSTEM,5,21,3.7,42,1,52,6
420,Ascend Performance Materials,5,20,3.4,42,2,14,10
421,Collabera,7,67,4.1,30,2,32,8
422,Kelsey-Seybold,5,55,3.6,42,10,74,7
423,Themesoft Inc,2,67,3.9,42,2,19,6
424,Cybersoft Technologies,2,67,3.2,42,2,25,4
425,"Avetta, LLC",3,37,3.9,43,2,19,7
426,Navigant Consulting,6,26,3.2,8,2,27,8
427,"Resource Logistics, Inc.",2,72,4.7,30,2,26,4
428,EDP Renovaveis,4,36,3.6,42,3,25,8
429,Kelsey Seybold Clinic,5,55,3.6,42,10,74,7
430,"Conn's, Inc.",5,27,3.8,42,3,20,9
431,Riverway Business Services,1,102,3,42,10,33,3
432,Control Risks,5,26,3.5,75,2,48,7
433,GBS Group,1,26,4.4,10,2,23,2
434,Frontline Source Group,2,102,4.6,42,2,19,6
435,Harris Health System,6,55,3.2,42,6,57,7
436,Sharp Electronics Corporation,5,67,3.9,30,3,61,9
437,Pyramid Consulting,5,24,3.7,11,2,27,7
438,CornerStone Professional Placement,2,102,3.8,42,2,32,6
439,Compass Group USA,7,19,3.5,27,13,29,12
440,Vitamin T,3,3,4.7,20,2,12,7
441,NRG Energy,6,36,3.5,30,3,31,12
442,Lyondellbasell,7,20,3.7,42,3,16,12
443,Gulf States Toyota,5,10,4.3,42,2,54,7
444,Loves Travel Stops & Country Store,7,49,3.4,35,2,59,12
445,Virtus Partners,3,66,2.8,42,2,18,4
446,Emerson Electric Co.,7,35,3.6,25,3,133,12
447,Spark Energy,2,114,3.2,42,3,21,7
448,FIS,7,43,3.6,10,3,55,12
449,"Applied Technical Services, Inc.",4,6,3,11,2,56,7
450,CenterPoint Energy,6,36,3.5,42,3,22,11
451,Energy Services Group,3,67,3.1,20,2,25,4
452,DeWolff Boberg & Associates,2,26,4,42,2,36,5
453,EDP Renewables,4,36,3.6,42,3,25,8
454,ICF,6,26,3.5,44,3,24,9
455,GeoDigital,2,24,2.4,11,2,18,5
456,Houston-Galveston Area Council,2,80,2.5,42,6,57,7
457,Verisk Analytics,6,95,3.7,30,3,52,10
458,Alert Logic,4,37,3.5,42,2,21,7
459,UTHealth Houston,6,21,4,42,1,51,9
460,Weingarten Realty,3,93,3.3,42,3,31,8
461,Meriplex Communications,2,17,3.6,42,2,22,3
462,Enbridge,7,36,3.2,54,3,74,12
463,CIRCOR International,5,61,2.4,20,3,24,9
464,Insperity,5,26,4.2,42,3,37,10
465,LaneStaffing Inc.,1,102,3.4,42,2,16,2
466,Lockheed Martin,7,4,3.8,21,3,28,12
467,Goldman Sachs,7,66,4,33,3,154,12
468,CompleteRx Ltd,3,55,3,42,2,25,7
469,Sun and Ski Sports,4,100,3.6,42,2,43,1
470,Axiall,6,20,3.2,11,3,10,10
471,"Tetra Tech, Inc.",7,6,3.7,5,3,57,10
472,Hardies Fruit & Vegetable Company,3,119,3.7,42,2,80,7
473,Venterra Realty,4,93,4.7,42,2,22,7
474,H.B. Fuller,5,20,3.4,24,3,136,10
475,Hellmann Worldwide Logistics,4,72,2.8,10,2,35,7
476,Houston Baptist University,3,21,3.1,42,1,63,6
477,Accenture,7,26,3.9,62,3,34,12
478,Techwave Consulting Inc,5,67,3.9,42,2,19,6
479,DXP Enterprises,5,119,3.1,42,3,115,9
480,"Infomerica, Inc",4,67,4,27,2,25,7
481,Empyrean Benefit Solutions,3,37,2.1,42,2,17,6
482,Nautilus Insurance Group,3,64,3.4,4,13,38,7
483,National Education Partners,3,21,4.6,4,2,4,7
484,BSI America,2,26,2.4,44,13,122,4
485,Phoenix Children's Hospital,5,55,3.9,4,8,40,8
486,Talend,5,24,4.4,5,3,17,7
487,"DriveTime Automotive Group, Inc.",6,115,3.7,4,2,21,10
488,National Software Management,3,67,4,5,2,14,7
489,Nikola Motor Company,3,108,4.6,4,3,9,1
490,Discount Tire,7,10,4,4,2,63,10
491,Kyriba Corp.,4,24,4,5,2,23,7
492,DHL Express,7,38,3.8,58,13,54,12
493,Alaska USA,5,12,3.4,1,9,75,7
494,"Epiq Systems, Inc.",6,70,3.6,33,2,35,9
495,Strategic Systems,3,67,4.5,34,2,19,4
496,IGNW,3,67,4.9,36,2,8,5
497,Allstate,7,63,3.4,15,3,92,12
498,U-Haul,7,111,3.1,32,3,78,12
499,ATR International,5,3,3.4,5,2,35,6
500,Republic Services,7,114,3.4,4,3,25,11
501,MDSL,4,37,3.8,4,2,28,7
502,Broadridge,7,43,3.5,33,3,16,11
503,Hospice of the Valley (AZ),5,55,3.9,4,3,46,7
504,Integrate,3,37,4.4,4,2,13,5
505,"Global Technical Talent, LLC",4,67,3.6,29,2,24,5
506,Universal Technical Institute,5,21,2.9,4,3,58,4
507,vtech Solutions,3,67,3.9,8,2,17,2
508,System Soft Technologies,3,67,4.8,10,2,24,6
509,BGRS,5,102,3.2,15,2,59,8
510,W.R. Berkley Corporation,6,64,3.3,7,3,56,11
511,Pacific Western Bank,5,12,3.5,5,13,21,12
512,Axon,5,24,3.7,4,3,32,7
513,Peyton Resource Group (PRG),1,102,4,42,2,22,4
514,Uhaul,7,111,3.1,32,3,78,12
515,Viasat,6,106,4.1,5,3,37,9
516,NAGRA (Kudelski Group),5,105,3.5,74,3,72,8
517,Metasys Technologies,3,102,4.8,11,2,23,5
518,StateServ,3,55,4,4,2,19,7
519,Konica Minolta Business Solutions,6,24,3.1,30,13,64,12
520,ON Semiconductor,7,35,3.6,4,3,24,11
521,Environmental & Occupational,2,26,3.3,5,2,33,5
522,"Blackhawk Network, Inc.",5,43,3.4,5,2,22,9
523,Data-Core Systems,3,67,3.1,37,2,35,5
